feature,0,1,[C1] 0(%),[C1] 1(%),[C2] 0(%),[C2] 1(%),[C3] 0(%),[C3] 1(%),[C4] 0(%),[C4] 1(%)
Depression screening,780,170,41.67,55.29,30.13,17.06,12.69,11.76,15.51,15.88
Depression screening (procedure),155,795,38.06,45.28,20.0,29.31,21.29,10.82,20.65,14.59
Depression screening using Patient Health Questionnaire Nine Item score (procedure),567,383,41.8,47.52,30.51,23.76,11.82,13.58,15.87,15.14
Depression screening using Patient Health Questionnaire Two-Item score (procedure),236,714,38.56,45.94,19.49,30.53,21.61,9.52,20.34,14.01
Development of individualized plan of care (procedure),797,153,43.29,48.37,27.98,26.8,13.55,7.19,15.18,17.65
Digital examination of rectum,940,10,43.94,60.0,27.98,10.0,12.55,10.0,15.53,20.0
Discharge from skilled nursing facility (procedure),829,121,43.43,48.76,28.11,25.62,13.15,8.26,15.32,17.36
Echocardiography (procedure),924,26,44.16,42.31,28.03,19.23,12.77,3.85,15.04,34.62
Electrical cardioversion,928,22,43.86,54.55,27.69,31.82,12.82,0.0,15.62,13.64
Electrocardiographic procedure,947,3,44.14,33.33,27.77,33.33,12.57,0.0,15.52,33.33
Epidural anesthesia,910,40,43.52,57.5,28.46,12.5,12.64,10.0,15.38,20.0
Episiotomy,891,59,43.77,49.15,28.28,20.34,12.68,10.17,15.26,20.34
Evaluation of uterine fundal height,792,158,42.17,53.8,29.92,17.09,12.37,13.29,15.53,15.82
Excision of axillary lymph node (procedure),948,2,43.99,100.0,27.85,0.0,12.55,0.0,15.61,0.0
Excision of breast tissue (procedure),946,4,44.08,50.0,27.91,0.0,12.47,25.0,15.54,25.0
Excision of fallopian tube and surgical removal of ectopic pregnancy,948,2,43.99,100.0,27.85,0.0,12.55,0.0,15.61,0.0
Excision of sentinel lymph node (procedure),949,1,44.05,100.0,27.82,0.0,12.54,0.0,15.6,0.0
Exercise class,947,3,43.93,100.0,27.88,0.0,12.57,0.0,15.63,0.0
Extraction of wisdom tooth,939,11,44.09,45.45,28.01,9.09,12.46,18.18,15.44,27.27
Face mask (physical object),0,950,0.0,44.11,0.0,27.79,0.0,12.53,0.0,15.58
Fetal anatomy study,797,153,42.53,52.29,29.74,17.65,12.3,13.73,15.43,16.34
Gonorrhea infection test,795,155,42.39,52.9,29.81,17.42,12.33,13.55,15.47,16.13
Health risks education (procedure),866,84,43.88,46.43,28.18,23.81,12.36,14.29,15.59,15.48
Heart failure education (procedure),949,1,44.15,0.0,27.71,100.0,12.54,0.0,15.6,0.0
Hemodialysis (procedure),943,7,44.43,0.0,27.25,100.0,12.62,0.0,15.69,0.0
Hemoglobin / Hematocrit / Platelet count,792,158,42.17,53.8,29.92,17.09,12.37,13.29,15.53,15.82
Heparin therapy (procedure),949,1,44.15,0.0,27.82,0.0,12.54,0.0,15.49,100.0
Hepatitis B Surface Antigen Measurement,795,155,42.39,52.9,29.81,17.42,12.33,13.55,15.47,16.13
Hepatitis C antibody test,795,155,42.39,52.9,29.81,17.42,12.33,13.55,15.47,16.13
History AND physical examination (procedure),829,121,43.43,48.76,28.11,25.62,13.15,8.26,15.32,17.36
Home health aide service (regime/therapy),945,5,44.02,60.0,27.83,20.0,12.59,0.0,15.56,20.0
Hospice care (regime/therapy),915,35,44.15,42.86,27.54,34.29,12.9,2.86,15.41,20.0
Human epidermal growth factor receptor 2 gene detection by fluorescence in situ hybridization (procedure),940,10,43.83,70.0,28.09,0.0,12.55,10.0,15.53,20.0
Human epidermal growth factor receptor 2 gene detection by immunohistochemistry (procedure),940,10,43.83,70.0,28.09,0.0,12.55,10.0,15.53,20.0
Human immunodeficiency virus antigen test,795,155,42.39,52.9,29.81,17.42,12.33,13.55,15.47,16.13
Induced termination of pregnancy,896,54,43.75,50.0,28.24,20.37,12.72,9.26,15.29,20.37
Information gathering (procedure),938,12,43.92,58.33,27.93,16.67,12.69,0.0,15.46,25.0
Initial patient assessment (procedure),797,153,43.29,48.37,27.98,26.8,13.55,7.19,15.18,17.65
Injection of adrenaline,937,13,44.18,38.46,28.07,7.69,12.38,23.08,15.37,30.77
Injection of tetanus antitoxin,922,28,44.25,39.29,27.77,28.57,12.47,14.29,15.51,17.86
Insertion of biventricular implantable cardioverter defibrillator,944,6,44.28,16.67,27.86,16.67,12.61,0.0,15.25,66.67
Insertion of endotracheal tube (procedure),922,28,45.12,10.71,26.25,78.57,12.8,3.57,15.84,7.14
Insertion of intrauterine contraceptive device,864,86,43.17,53.49,28.59,19.77,12.5,12.79,15.74,13.95
Insertion of subcutaneous contraceptive,864,86,42.36,61.63,29.05,15.12,12.96,8.14,15.62,15.12
Instrumental delivery,926,24,44.17,41.67,28.08,16.67,12.42,16.67,15.33,25.0
Intramuscular injection,863,87,42.41,60.92,29.2,13.79,12.63,11.49,15.76,13.79
Intravenous blood transfusion of packed cells (procedure),945,5,44.13,40.0,27.72,40.0,12.59,0.0,15.56,20.0
Kitchen practice,947,3,43.93,100.0,27.88,0.0,12.57,0.0,15.63,0.0
Knee X-ray,933,17,44.59,17.65,27.44,47.06,12.43,17.65,15.54,17.65
Lumpectomy of breast (procedure),944,6,43.86,83.33,27.97,0.0,12.61,0.0,15.57,16.67
Lung volume reduction surgery (procedure),949,1,44.15,0.0,27.71,100.0,12.54,0.0,15.6,0.0
Magnetic resonance imaging of breast (procedure),947,3,44.14,33.33,27.88,0.0,12.57,0.0,15.42,66.67
Mammogram - symptomatic (procedure),947,3,44.03,66.67,27.88,0.0,12.57,0.0,15.52,33.33
Mammography (procedure),932,18,43.88,55.56,28.0,16.67,12.66,5.56,15.45,22.22
Manual pelvic examination (procedure),940,10,43.94,60.0,27.87,20.0,12.66,0.0,15.53,20.0
Measurement of Varicella-zoster virus antibody,795,155,42.39,52.9,29.81,17.42,12.33,13.55,15.47,16.13
Measurement of respiratory function (procedure),738,212,43.36,46.7,27.91,27.36,11.65,15.57,17.07,10.38
Medical induction of labor,910,40,43.41,60.0,28.24,17.5,12.86,5.0,15.49,17.5
Medication Reconciliation (procedure),8,942,25.0,44.27,25.0,27.81,0.0,12.63,50.0,15.29
Mental health screening (procedure),949,1,44.15,0.0,27.82,0.0,12.54,0.0,15.49,100.0
Methotrexate injection into tubal pregnancy,949,1,44.15,0.0,27.82,0.0,12.43,100.0,15.6,0.0
Microbial culture (procedure),942,8,44.48,0.0,27.39,75.0,12.53,12.5,15.61,12.5
Monitoring of patient (regime/therapy),949,1,44.05,100.0,27.82,0.0,12.54,0.0,15.6,0.0
Movement therapy (regime/therapy),859,91,43.19,52.75,28.17,24.18,12.81,9.89,15.83,13.19
Nasal sinus endoscopy (procedure),942,8,43.95,62.5,27.81,25.0,12.63,0.0,15.61,12.5
Notifications (procedure),915,35,44.15,42.86,27.54,34.29,12.9,2.86,15.41,20.0
Nursing care/supplementary surveillance (regime/therapy),823,127,43.38,48.82,28.19,25.2,13.24,7.87,15.19,18.11
Occupational therapy (regime/therapy),827,123,43.41,48.78,28.17,25.2,13.18,8.13,15.24,17.89
Oxygen administration by mask (procedure),751,199,45.67,38.19,26.23,33.67,12.78,11.56,15.31,16.58
Partial resection of colon,942,8,44.06,50.0,27.71,37.5,12.63,0.0,15.61,12.5
Patient discharge (procedure),910,40,43.85,50.0,27.91,25.0,12.97,2.5,15.27,22.5
Pelvis X-ray,944,6,43.96,66.67,27.75,33.33,12.61,0.0,15.68,0.0
Percutaneous coronary intervention,949,1,44.15,0.0,27.71,100.0,12.54,0.0,15.6,0.0
Percutaneous mechanical thrombectomy of portal vein using fluoroscopic guidance,934,16,43.9,56.25,28.05,12.5,12.63,6.25,15.42,25.0
Peripheral blood smear interpretation,850,100,42.94,54.0,27.88,27.0,12.71,11.0,16.47,8.0
Physical exam following abortion,896,54,43.75,50.0,28.24,20.37,12.72,9.26,15.29,20.37
Physical examination,902,48,43.79,50.0,27.83,27.08,12.42,14.58,15.96,8.33
Physical examination following birth,797,153,42.03,54.9,29.86,16.99,12.55,12.42,15.56,15.69
Physical examination of mother,795,155,42.39,52.9,29.81,17.42,12.33,13.55,15.47,16.13
Physical therapy procedure (regime/therapy),823,127,43.38,48.82,28.19,25.2,13.24,7.87,15.19,18.11
Placing subject in prone position (procedure),751,199,45.67,38.19,26.23,33.67,12.78,11.56,15.31,16.58
Plain chest X-ray (procedure),734,216,45.5,39.35,26.29,32.87,12.81,11.57,15.4,16.2
Pre-discharge assessment (procedure),829,121,43.43,48.76,28.11,25.62,13.15,8.26,15.32,17.36
Pregnancy termination care,896,54,43.75,50.0,28.24,20.37,12.72,9.26,15.29,20.37
Premature birth of newborn,935,15,44.28,33.33,28.02,13.33,12.09,40.0,15.61,13.33
Professional / ancillary services care (regime/therapy),831,119,43.44,48.74,28.16,25.21,13.12,8.4,15.28,17.65
Prostatectomy,943,7,44.01,57.14,27.89,14.29,12.51,14.29,15.59,14.29
Psychosocial care (regime/therapy),948,2,44.09,50.0,27.85,0.0,12.55,0.0,15.51,50.0
Pulmonary rehabilitation (regime/therapy),943,7,44.11,42.86,27.57,57.14,12.62,0.0,15.69,0.0
Radiation therapy care (regime/therapy),948,2,43.99,100.0,27.85,0.0,12.55,0.0,15.61,0.0
Rectal polypectomy,896,54,43.64,51.85,27.79,27.78,12.95,5.56,15.62,14.81
Referral to home health care service (procedure),942,8,43.95,62.5,27.92,12.5,12.63,0.0,15.5,25.0
Referral to hypertension clinic,946,4,43.97,75.0,27.8,25.0,12.58,0.0,15.64,0.0
Referral to sleep apnea clinic (procedure),935,15,43.96,53.33,27.91,20.0,12.62,6.67,15.51,20.0
Removal of endotracheal tube (procedure),942,8,44.16,37.5,27.81,25.0,12.53,12.5,15.5,25.0
Removal of intrauterine device,892,58,43.72,50.0,27.91,25.86,12.67,10.34,15.7,13.79
Removal of subcutaneous contraceptive,887,63,42.62,65.08,28.64,15.87,12.97,6.35,15.78,12.7
Renal dialysis (procedure),947,3,44.14,33.33,27.88,0.0,12.57,0.0,15.42,66.67
Replacement of contraceptive intrauterine device,914,36,43.98,47.22,28.01,22.22,12.58,11.11,15.43,19.44
Resuscitation using intravenous fluid (procedure),946,4,44.19,25.0,27.8,25.0,12.37,50.0,15.64,0.0
Review of systems (procedure),850,100,42.94,54.0,27.88,27.0,12.71,11.0,16.47,8.0
RhD passive immunization,919,31,44.18,41.94,27.75,29.03,12.4,16.13,15.67,12.9
Rubella screening,795,155,42.39,52.9,29.81,17.42,12.33,13.55,15.47,16.13
Screening for chromosomal aneuploidy in prenatal amniotic fluid,795,155,42.39,52.9,29.81,17.42,12.33,13.55,15.47,16.13
Screening for domestic abuse (procedure),311,639,39.87,46.17,25.08,29.11,18.33,9.7,16.72,15.02
Screening for drug abuse (procedure),334,616,40.72,45.94,21.56,31.17,17.66,9.74,20.06,13.15
Screening for occult blood in feces (procedure),897,53,43.59,52.83,27.87,26.42,12.93,5.66,15.61,15.09
Screening mammography (procedure),943,7,43.9,71.43,28.0,0.0,12.51,14.29,15.59,14.29
Seizure Count Cerebral Cortex Electroencephalogram (EEG),947,3,44.14,33.33,27.77,33.33,12.57,0.0,15.52,33.33
Sentinel lymph node biopsy (procedure),949,1,44.05,100.0,27.82,0.0,12.54,0.0,15.6,0.0
Skin test for tuberculosis,795,155,42.39,52.9,29.81,17.42,12.33,13.55,15.47,16.13
Sleep apnea assessment (procedure),935,15,43.96,53.33,27.91,20.0,12.62,6.67,15.51,20.0
Sleep apnea monitoring with alarm (regime/therapy),941,9,44.0,55.56,27.84,22.22,12.65,0.0,15.52,22.22
Speech and language therapy regime (regime/therapy,832,118,43.63,47.46,28.0,26.27,13.1,8.47,15.26,17.8
Speech and language therapy regime (regime/therapy),946,4,43.87,100.0,27.91,0.0,12.58,0.0,15.64,0.0
Spirometry (procedure),935,15,44.17,40.0,27.49,46.67,12.62,6.67,15.72,6.67
Spontaneous breech delivery,949,1,44.15,0.0,27.71,100.0,12.54,0.0,15.6,0.0
Sputum examination (procedure),871,79,43.63,49.37,28.36,21.52,12.51,12.66,15.5,16.46
Standard pregnancy test,781,169,42.13,53.25,29.96,17.75,12.42,13.02,15.49,15.98
Streptococcus pneumoniae group B antigen test,806,144,42.18,54.86,29.65,17.36,12.66,11.81,15.51,15.97
Subcutaneous immunotherapy,924,26,43.72,57.69,28.35,7.69,12.34,19.23,15.58,15.38
Suicide risk assessment (procedure),949,1,44.15,0.0,27.82,0.0,12.54,0.0,15.49,100.0
Surgical manipulation of joint of knee,936,14,44.55,14.29,27.35,57.14,12.5,14.29,15.6,14.29
Surgical manipulation of shoulder joint,949,1,44.05,100.0,27.82,0.0,12.54,0.0,15.6,0.0
Suture open wound,836,114,44.38,42.11,28.71,21.05,11.96,16.67,14.95,20.18
Syphilis infection test,795,155,42.39,52.9,29.81,17.42,12.33,13.55,15.47,16.13
Teleradiotherapy procedure (procedure),944,6,43.96,66.67,27.97,0.0,12.5,16.67,15.57,16.67
Throat culture (procedure),719,231,45.06,41.13,27.82,27.71,11.68,15.15,15.44,16.02
Transfer to stepdown,818,132,43.77,46.21,29.1,19.7,11.98,15.91,15.16,18.18
Transfer to stepdown unit (procedure),946,4,44.19,25.0,27.8,25.0,12.37,50.0,15.64,0.0
Transfusion of plasma (procedure),948,2,44.2,0.0,27.74,50.0,12.45,50.0,15.61,0.0
Transplant of lung (procedure),949,1,44.05,100.0,27.82,0.0,12.54,0.0,15.6,0.0
Ultrasonography of bilateral breasts (procedure),943,7,43.8,85.71,28.0,0.0,12.51,14.29,15.69,0.0
Ultrasound scan for fetal viability,781,169,42.13,53.25,29.96,17.75,12.42,13.02,15.49,15.98
Upper arm X-ray,919,31,43.74,54.84,28.07,19.35,12.95,0.0,15.23,25.81
Urine culture,795,155,42.39,52.9,29.81,17.42,12.33,13.55,15.47,16.13
Urine protein test,795,155,42.39,52.9,29.81,17.42,12.33,13.55,15.47,16.13
Urine screening for glucose,795,155,42.26,53.55,29.94,16.77,12.33,13.55,15.47,16.13
Urine screening test for diabetes,795,155,42.39,52.9,29.81,17.42,12.33,13.55,15.47,16.13
Vaccination for diphtheria  pertussis  and tetanus,795,155,42.26,53.55,29.94,16.77,12.33,13.55,15.47,16.13
Vasectomy,945,5,44.13,40.0,27.72,40.0,12.49,20.0,15.66,0.0
Weaning from mechanically assisted ventilation (procedure),949,1,44.15,0.0,27.82,0.0,12.43,100.0,15.6,0.0
X-ray or wrist,923,27,43.99,48.15,28.06,18.52,12.46,14.81,15.49,18.52
negative screening for depression on phq9,949,1,44.05,100.0,27.82,0.0,12.54,0.0,15.6,0.0
positive screening for PHQ-9,949,1,44.05,100.0,27.82,0.0,12.54,0.0,15.6,0.0
DIED IN ONE MONTH,919,31,45.59,0.0,25.35,100.0,12.95,0.0,16.1,0.0
