feature,0,1,[C1] 0(%),[C1] 1(%),[C2] 0(%),[C2] 1(%),[C3] 0(%),[C3] 1(%),[C4] 0(%),[C4] 1(%),[C5] 0(%),[C5] 1(%),[C6] 0(%),[C6] 1(%),[C7] 0(%),[C7] 1(%),[C8] 0(%),[C8] 1(%),[C9] 0(%),[C9] 1(%)
Ankle X-ray,177,5,0.56,0.0,17.51,0.0,1.13,0.0,1.13,0.0,0.56,0.0,21.47,80.0,56.5,20.0,0.56,0.0,0.56,0.0
Antenatal RhD antibody screening,172,10,0.0,10.0,13.37,80.0,1.16,0.0,1.16,0.0,0.58,0.0,24.42,0.0,58.72,0.0,0.0,10.0,0.58,0.0
Anticipatory guidance (procedure),150,32,0.67,0.0,16.67,18.75,1.33,0.0,1.33,0.0,0.67,0.0,18.0,46.88,60.0,34.38,0.67,0.0,0.67,0.0
Appendectomy,180,2,0.56,0.0,17.22,0.0,1.11,0.0,1.11,0.0,0.56,0.0,23.33,0.0,55.0,100.0,0.56,0.0,0.56,0.0
Assessment of anxiety (procedure),30,152,0.0,0.66,3.33,19.74,0.0,1.32,0.0,1.32,0.0,0.66,96.67,8.55,0.0,66.45,0.0,0.66,0.0,0.66
Assessment of health and social care needs (procedure),42,140,0.0,0.71,2.38,21.43,0.0,1.43,0.0,1.43,0.0,0.71,97.62,0.71,0.0,72.14,0.0,0.71,0.0,0.71
Assessment of substance use (procedure),37,145,0.0,0.69,2.7,20.69,2.7,0.69,0.0,1.38,0.0,0.69,72.97,10.34,21.62,64.14,0.0,0.69,0.0,0.69
Assessment using Alcohol Use Disorders Identification Test - Consumption (procedure),70,112,0.0,0.89,10.0,21.43,1.43,0.89,0.0,1.79,0.0,0.89,60.0,0.0,28.57,72.32,0.0,0.89,0.0,0.89
Assessment using Car  Relax  Alone  Forget  Friends  Trouble Screening Test (procedure),149,33,0.67,0.0,16.78,18.18,1.34,0.0,1.34,0.0,0.67,0.0,18.12,45.45,59.73,36.36,0.67,0.0,0.67,0.0
Assessment using Morse Fall Scale (procedure),152,30,0.66,0.0,20.39,0.0,0.0,6.67,0.0,6.67,0.0,3.33,26.32,6.67,51.32,76.67,0.66,0.0,0.66,0.0
Asthma screening,178,4,0.56,0.0,17.42,0.0,1.12,0.0,1.12,0.0,0.56,0.0,21.35,100.0,56.74,0.0,0.56,0.0,0.56,0.0
Auscultation of the fetal heart,148,34,0.0,2.94,0.0,91.18,1.35,0.0,1.35,0.0,0.68,0.0,28.38,0.0,67.57,2.94,0.0,2.94,0.68,0.0
Bilateral tubal ligation,180,2,0.56,0.0,16.67,50.0,1.11,0.0,1.11,0.0,0.56,0.0,23.33,0.0,56.11,0.0,0.0,50.0,0.56,0.0
Blood typing  RH typing,150,32,0.0,3.12,0.0,96.88,1.33,0.0,1.33,0.0,0.67,0.0,28.0,0.0,67.33,0.0,0.67,0.0,0.67,0.0
Bone density scan (procedure),173,9,0.58,0.0,17.92,0.0,0.58,11.11,1.16,0.0,0.0,11.11,24.28,0.0,54.34,77.78,0.58,0.0,0.58,0.0
Bone immobilization,162,20,0.62,0.0,17.9,10.0,1.23,0.0,1.23,0.0,0.0,5.0,20.99,40.0,56.79,45.0,0.62,0.0,0.62,0.0
Brief general examination (procedure),162,20,0.0,5.0,15.43,30.0,0.62,5.0,1.23,0.0,0.62,0.0,25.93,0.0,54.94,60.0,0.62,0.0,0.62,0.0
Care regimes assessment (procedure),178,4,0.56,0.0,17.42,0.0,1.12,0.0,1.12,0.0,0.56,0.0,23.6,0.0,55.06,75.0,0.56,0.0,0.0,25.0
Catheter ablation of tissue of heart,180,2,0.56,0.0,16.67,50.0,0.56,50.0,1.11,0.0,0.56,0.0,23.33,0.0,56.11,0.0,0.56,0.0,0.56,0.0
Certification procedure (procedure),174,8,0.57,0.0,17.82,0.0,0.57,12.5,1.15,0.0,0.57,0.0,24.14,0.0,54.02,87.5,0.57,0.0,0.57,0.0
Cesarean section,178,4,0.56,0.0,15.17,100.0,1.12,0.0,1.12,0.0,0.56,0.0,23.6,0.0,56.74,0.0,0.56,0.0,0.56,0.0
Chemotherapy (procedure),160,22,0.62,0.0,16.25,22.73,1.25,0.0,1.25,0.0,0.62,0.0,16.88,68.18,61.88,9.09,0.62,0.0,0.62,0.0
Childbirth,150,32,0.0,3.12,1.33,90.62,1.33,0.0,1.33,0.0,0.67,0.0,28.0,0.0,66.67,3.12,0.0,3.12,0.67,0.0
Chlamydia antigen test,150,32,0.0,3.12,0.0,96.88,1.33,0.0,1.33,0.0,0.67,0.0,28.0,0.0,67.33,0.0,0.67,0.0,0.67,0.0
Clavicle X-ray,176,6,0.57,0.0,17.05,16.67,0.0,33.33,1.14,0.0,0.57,0.0,23.86,0.0,55.68,50.0,0.57,0.0,0.57,0.0
Cognitive and behavioral therapy (regime/therapy),177,5,0.56,0.0,16.95,20.0,1.13,0.0,1.13,0.0,0.56,0.0,23.73,0.0,54.8,80.0,0.56,0.0,0.56,0.0
Colonoscopy,146,36,0.0,2.78,19.86,5.56,0.68,2.78,1.37,0.0,0.68,0.0,28.77,0.0,47.26,88.89,0.68,0.0,0.68,0.0
Comprehensive interview and evaluation (procedure),180,2,0.56,0.0,17.22,0.0,1.11,0.0,0.56,50.0,0.0,50.0,23.33,0.0,56.11,0.0,0.56,0.0,0.56,0.0
Controlled ventilation procedure and therapy  initiation and management (procedure),175,7,0.57,0.0,17.71,0.0,0.0,28.57,0.0,28.57,0.57,0.0,23.43,14.29,56.57,28.57,0.57,0.0,0.57,0.0
Coordination of care plan (procedure),180,2,0.56,0.0,17.22,0.0,1.11,0.0,0.56,50.0,0.0,50.0,23.33,0.0,56.11,0.0,0.56,0.0,0.56,0.0
Counseling for termination of pregnancy,169,13,0.59,0.0,11.83,84.62,1.18,0.0,1.18,0.0,0.59,0.0,24.85,0.0,59.17,7.69,0.59,0.0,0.0,7.69
Cytopathology procedure  preparation of smear  genital source,150,32,0.0,3.12,0.0,96.88,1.33,0.0,1.33,0.0,0.67,0.0,28.0,0.0,67.33,0.0,0.67,0.0,0.67,0.0
Cytopathology procedure  preparation of smear  genital source (procedure),178,4,0.56,0.0,17.42,0.0,0.56,25.0,1.12,0.0,0.56,0.0,23.6,0.0,55.06,75.0,0.56,0.0,0.56,0.0
Depression screening,147,35,0.0,2.86,0.68,85.71,1.36,0.0,1.36,0.0,0.68,0.0,28.57,0.0,67.35,5.71,0.0,2.86,0.0,2.86
Depression screening (procedure),29,153,0.0,0.65,0.0,20.26,0.0,1.31,0.0,1.31,0.0,0.65,100.0,8.5,0.0,66.01,0.0,0.65,0.0,0.65
Depression screening using Patient Health Questionnaire Nine Item score (procedure),115,67,0.87,0.0,14.78,20.9,1.74,0.0,0.87,1.49,0.0,1.49,25.22,19.4,55.65,55.22,0.87,0.0,0.0,1.49
Depression screening using Patient Health Questionnaire Two-Item score (procedure),43,139,0.0,0.72,2.33,21.58,0.0,1.44,0.0,1.44,0.0,0.72,97.67,0.0,0.0,72.66,0.0,0.72,0.0,0.72
Development of individualized plan of care (procedure),151,31,0.0,3.23,20.53,0.0,0.0,6.45,0.66,3.23,0.0,3.23,26.49,6.45,52.32,70.97,0.0,3.23,0.0,3.23
Discharge from skilled nursing facility (procedure),160,22,0.0,4.55,19.38,0.0,0.0,9.09,1.25,0.0,0.62,0.0,25.0,9.09,53.75,68.18,0.0,4.55,0.0,4.55
Echocardiography (procedure),177,5,0.56,0.0,16.95,20.0,1.13,0.0,0.56,20.0,0.0,20.0,23.73,0.0,55.93,40.0,0.56,0.0,0.56,0.0
Epidural anesthesia,172,10,0.58,0.0,12.21,100.0,1.16,0.0,1.16,0.0,0.58,0.0,24.42,0.0,58.72,0.0,0.58,0.0,0.58,0.0
Episiotomy,173,9,0.58,0.0,13.29,88.89,1.16,0.0,1.16,0.0,0.58,0.0,24.28,0.0,58.38,0.0,0.0,11.11,0.58,0.0
Evaluation of uterine fundal height,148,34,0.0,2.94,0.0,91.18,1.35,0.0,1.35,0.0,0.68,0.0,28.38,0.0,67.57,2.94,0.0,2.94,0.68,0.0
Face mask (physical object),0,182,0.0,0.55,0.0,17.03,0.0,1.1,0.0,1.1,0.0,0.55,0.0,23.08,0.0,55.49,0.0,0.55,0.0,0.55
Fetal anatomy study,149,33,0.0,3.03,0.0,93.94,1.34,0.0,1.34,0.0,0.67,0.0,28.19,0.0,67.79,0.0,0.0,3.03,0.67,0.0
Gonorrhea infection test,150,32,0.0,3.12,0.0,96.88,1.33,0.0,1.33,0.0,0.67,0.0,28.0,0.0,67.33,0.0,0.67,0.0,0.67,0.0
Health risks education (procedure),166,16,0.6,0.0,17.47,12.5,1.2,0.0,1.2,0.0,0.6,0.0,22.29,31.25,55.42,56.25,0.6,0.0,0.6,0.0
Hemodialysis (procedure),180,2,0.56,0.0,17.22,0.0,0.56,50.0,0.56,50.0,0.56,0.0,23.33,0.0,56.11,0.0,0.56,0.0,0.56,0.0
Hemoglobin / Hematocrit / Platelet count,148,34,0.0,2.94,0.0,91.18,1.35,0.0,1.35,0.0,0.68,0.0,28.38,0.0,67.57,2.94,0.0,2.94,0.68,0.0
Hepatitis B Surface Antigen Measurement,150,32,0.0,3.12,0.0,96.88,1.33,0.0,1.33,0.0,0.67,0.0,28.0,0.0,67.33,0.0,0.67,0.0,0.67,0.0
Hepatitis C antibody test,150,32,0.0,3.12,0.0,96.88,1.33,0.0,1.33,0.0,0.67,0.0,28.0,0.0,67.33,0.0,0.67,0.0,0.67,0.0
History AND physical examination (procedure),160,22,0.0,4.55,19.38,0.0,0.0,9.09,1.25,0.0,0.62,0.0,25.0,9.09,53.75,68.18,0.0,4.55,0.0,4.55
Home health aide service (regime/therapy),180,2,0.56,0.0,17.22,0.0,1.11,0.0,0.56,50.0,0.0,50.0,23.33,0.0,56.11,0.0,0.56,0.0,0.56,0.0
Hospice care (regime/therapy),174,8,0.57,0.0,17.82,0.0,0.57,12.5,1.15,0.0,0.57,0.0,24.14,0.0,54.02,87.5,0.57,0.0,0.57,0.0
Human immunodeficiency virus antigen test,150,32,0.0,3.12,0.0,96.88,1.33,0.0,1.33,0.0,0.67,0.0,28.0,0.0,67.33,0.0,0.67,0.0,0.67,0.0
Induced termination of pregnancy,169,13,0.59,0.0,11.83,84.62,1.18,0.0,1.18,0.0,0.59,0.0,24.85,0.0,59.17,7.69,0.59,0.0,0.0,7.69
Initial patient assessment (procedure),151,31,0.0,3.23,20.53,0.0,0.0,6.45,0.66,3.23,0.0,3.23,26.49,6.45,52.32,70.97,0.0,3.23,0.0,3.23
Injection of adrenaline,179,3,0.56,0.0,17.32,0.0,1.12,0.0,1.12,0.0,0.56,0.0,21.79,100.0,56.42,0.0,0.56,0.0,0.56,0.0
Insertion of endotracheal tube (procedure),175,7,0.57,0.0,17.71,0.0,0.0,28.57,0.0,28.57,0.57,0.0,23.43,14.29,56.57,28.57,0.57,0.0,0.57,0.0
Insertion of intrauterine contraceptive device,157,25,0.0,4.0,10.19,60.0,1.27,0.0,1.27,0.0,0.64,0.0,26.75,0.0,59.24,32.0,0.64,0.0,0.0,4.0
Insertion of subcutaneous contraceptive,165,17,0.61,0.0,11.52,70.59,1.21,0.0,1.21,0.0,0.61,0.0,25.45,0.0,58.79,23.53,0.61,0.0,0.0,5.88
Instrumental delivery,179,3,0.56,0.0,16.2,66.67,1.12,0.0,1.12,0.0,0.56,0.0,23.46,0.0,55.87,33.33,0.56,0.0,0.56,0.0
Intramuscular injection,163,19,0.61,0.0,12.88,52.63,1.23,0.0,1.23,0.0,0.61,0.0,24.54,10.53,58.28,31.58,0.61,0.0,0.0,5.26
Knee X-ray,179,3,0.56,0.0,17.32,0.0,1.12,0.0,1.12,0.0,0.56,0.0,23.46,0.0,54.75,100.0,0.56,0.0,0.56,0.0
Lung volume reduction surgery (procedure),180,2,0.56,0.0,16.67,50.0,1.11,0.0,1.11,0.0,0.56,0.0,23.33,0.0,55.56,50.0,0.56,0.0,0.56,0.0
Mammography (procedure),177,5,0.56,0.0,17.51,0.0,0.56,20.0,1.13,0.0,0.56,0.0,23.73,0.0,54.8,80.0,0.56,0.0,0.56,0.0
Manual pelvic examination (procedure),178,4,0.56,0.0,17.42,0.0,0.56,25.0,1.12,0.0,0.56,0.0,23.6,0.0,55.06,75.0,0.56,0.0,0.56,0.0
Measurement of Varicella-zoster virus antibody,150,32,0.0,3.12,0.0,96.88,1.33,0.0,1.33,0.0,0.67,0.0,28.0,0.0,67.33,0.0,0.67,0.0,0.67,0.0
Measurement of respiratory function (procedure),147,35,0.68,0.0,17.69,14.29,1.36,0.0,1.36,0.0,0.68,0.0,21.77,28.57,55.78,54.29,0.68,0.0,0.0,2.86
Medical induction of labor,171,11,0.58,0.0,11.7,100.0,1.17,0.0,1.17,0.0,0.58,0.0,24.56,0.0,59.06,0.0,0.58,0.0,0.58,0.0
Medication Reconciliation (procedure),7,175,0.0,0.57,28.57,16.57,0.0,1.14,0.0,1.14,0.0,0.57,0.0,24.0,57.14,55.43,14.29,0.0,0.0,0.57
Movement therapy (regime/therapy),162,20,0.62,0.0,16.05,25.0,1.23,0.0,0.62,5.0,0.62,0.0,25.93,0.0,53.7,70.0,0.62,0.0,0.62,0.0
Notifications (procedure),174,8,0.57,0.0,17.82,0.0,0.57,12.5,1.15,0.0,0.57,0.0,24.14,0.0,54.02,87.5,0.57,0.0,0.57,0.0
Nursing care/supplementary surveillance (regime/therapy),158,24,0.0,4.17,19.62,0.0,0.0,8.33,0.63,4.17,0.0,4.17,25.32,8.33,54.43,62.5,0.0,4.17,0.0,4.17
Occupational therapy (regime/therapy),159,23,0.0,4.35,19.5,0.0,0.0,8.7,0.63,4.35,0.63,0.0,25.16,8.7,54.09,65.22,0.0,4.35,0.0,4.35
Oxygen administration by mask (procedure),145,37,0.0,2.7,18.62,10.81,0.0,5.41,0.0,5.41,0.69,0.0,26.21,10.81,53.1,64.86,0.69,0.0,0.69,0.0
Partial resection of colon,180,2,0.56,0.0,17.22,0.0,1.11,0.0,1.11,0.0,0.56,0.0,23.33,0.0,55.0,100.0,0.56,0.0,0.56,0.0
Patient discharge (procedure),172,10,0.58,0.0,18.02,0.0,0.58,10.0,0.58,10.0,0.0,10.0,24.42,0.0,54.65,70.0,0.58,0.0,0.58,0.0
Percutaneous mechanical thrombectomy of portal vein using fluoroscopic guidance,179,3,0.56,0.0,17.32,0.0,1.12,0.0,1.12,0.0,0.0,33.33,23.46,0.0,55.31,66.67,0.56,0.0,0.56,0.0
Peripheral blood smear interpretation,161,21,0.0,4.76,14.91,33.33,0.62,4.76,1.24,0.0,0.62,0.0,26.09,0.0,55.28,57.14,0.62,0.0,0.62,0.0
Physical exam following abortion,169,13,0.59,0.0,11.83,84.62,1.18,0.0,1.18,0.0,0.59,0.0,24.85,0.0,59.17,7.69,0.59,0.0,0.0,7.69
Physical examination,175,7,0.0,14.29,14.29,85.71,1.14,0.0,1.14,0.0,0.57,0.0,24.0,0.0,57.71,0.0,0.57,0.0,0.57,0.0
Physical examination following birth,149,33,0.0,3.03,0.67,90.91,1.34,0.0,1.34,0.0,0.67,0.0,28.19,0.0,67.11,3.03,0.0,3.03,0.67,0.0
Physical examination of mother,150,32,0.0,3.12,0.0,96.88,1.33,0.0,1.33,0.0,0.67,0.0,28.0,0.0,67.33,0.0,0.67,0.0,0.67,0.0
Physical therapy procedure (regime/therapy),158,24,0.0,4.17,19.62,0.0,0.0,8.33,0.63,4.17,0.0,4.17,25.32,8.33,54.43,62.5,0.0,4.17,0.0,4.17
Placing subject in prone position (procedure),145,37,0.0,2.7,18.62,10.81,0.0,5.41,0.0,5.41,0.69,0.0,26.21,10.81,53.1,64.86,0.69,0.0,0.69,0.0
Plain chest X-ray (procedure),142,40,0.0,2.5,18.31,12.5,0.0,5.0,0.0,5.0,0.7,0.0,26.76,10.0,52.82,65.0,0.7,0.0,0.7,0.0
Pre-discharge assessment (procedure),160,22,0.0,4.55,19.38,0.0,0.0,9.09,1.25,0.0,0.62,0.0,25.0,9.09,53.75,68.18,0.0,4.55,0.0,4.55
Pregnancy termination care,169,13,0.59,0.0,11.83,84.62,1.18,0.0,1.18,0.0,0.59,0.0,24.85,0.0,59.17,7.69,0.59,0.0,0.0,7.69
Premature birth of newborn,179,3,0.56,0.0,15.64,100.0,1.12,0.0,1.12,0.0,0.56,0.0,23.46,0.0,56.42,0.0,0.56,0.0,0.56,0.0
Professional / ancillary services care (regime/therapy),161,21,0.0,4.76,19.25,0.0,0.62,4.76,1.24,0.0,0.62,0.0,24.84,9.52,53.42,71.43,0.0,4.76,0.0,4.76
Pulmonary rehabilitation (regime/therapy),179,3,0.56,0.0,16.76,33.33,1.12,0.0,1.12,0.0,0.56,0.0,23.46,0.0,55.31,66.67,0.56,0.0,0.56,0.0
Rectal polypectomy,175,7,0.57,0.0,17.71,0.0,1.14,0.0,1.14,0.0,0.57,0.0,24.0,0.0,53.71,100.0,0.57,0.0,0.57,0.0
Referral to home health care service (procedure),180,2,0.56,0.0,17.22,0.0,1.11,0.0,0.56,50.0,0.0,50.0,23.33,0.0,56.11,0.0,0.56,0.0,0.56,0.0
Referral to sleep apnea clinic (procedure),180,2,0.56,0.0,17.22,0.0,1.11,0.0,1.11,0.0,0.56,0.0,23.33,0.0,55.0,100.0,0.56,0.0,0.56,0.0
Removal of intrauterine device,169,13,0.0,7.69,14.2,53.85,1.18,0.0,1.18,0.0,0.59,0.0,24.85,0.0,57.4,30.77,0.59,0.0,0.0,7.69
Removal of subcutaneous contraceptive,174,8,0.0,12.5,14.37,75.0,1.15,0.0,1.15,0.0,0.57,0.0,24.14,0.0,58.05,0.0,0.57,0.0,0.0,12.5
Replacement of contraceptive intrauterine device,172,10,0.58,0.0,16.28,30.0,1.16,0.0,1.16,0.0,0.58,0.0,24.42,0.0,54.65,70.0,0.58,0.0,0.58,0.0
Review of systems (procedure),162,20,0.0,5.0,15.43,30.0,0.62,5.0,1.23,0.0,0.62,0.0,25.93,0.0,54.94,60.0,0.62,0.0,0.62,0.0
RhD passive immunization,172,10,0.0,10.0,13.37,80.0,1.16,0.0,1.16,0.0,0.58,0.0,24.42,0.0,58.72,0.0,0.0,10.0,0.58,0.0
Rubella screening,150,32,0.0,3.12,0.0,96.88,1.33,0.0,1.33,0.0,0.67,0.0,28.0,0.0,67.33,0.0,0.67,0.0,0.67,0.0
Screening for chromosomal aneuploidy in prenatal amniotic fluid,149,33,0.0,3.03,0.0,93.94,1.34,0.0,1.34,0.0,0.67,0.0,28.19,0.0,67.79,0.0,0.0,3.03,0.67,0.0
Screening for domestic abuse (procedure),61,121,0.0,0.83,13.11,19.01,0.0,1.65,0.0,1.65,0.0,0.83,68.85,0.0,16.39,75.21,1.64,0.0,0.0,0.83
Screening for drug abuse (procedure),64,118,0.0,0.85,10.94,20.34,1.56,0.85,0.0,1.69,0.0,0.85,65.62,0.0,21.88,73.73,0.0,0.85,0.0,0.85
Screening for occult blood in feces (procedure),175,7,0.57,0.0,17.71,0.0,1.14,0.0,1.14,0.0,0.57,0.0,24.0,0.0,53.71,100.0,0.57,0.0,0.57,0.0
Skin test for tuberculosis,150,32,0.0,3.12,0.0,96.88,1.33,0.0,1.33,0.0,0.67,0.0,28.0,0.0,67.33,0.0,0.67,0.0,0.67,0.0
Sleep apnea assessment (procedure),180,2,0.56,0.0,17.22,0.0,1.11,0.0,1.11,0.0,0.56,0.0,23.33,0.0,55.0,100.0,0.56,0.0,0.56,0.0
Speech and language therapy regime (regime/therapy,160,22,0.0,4.55,19.38,0.0,0.0,9.09,1.25,0.0,0.62,0.0,25.0,9.09,53.75,68.18,0.0,4.55,0.0,4.55
Spirometry (procedure),175,7,0.0,14.29,16.57,28.57,1.14,0.0,1.14,0.0,0.57,0.0,24.0,0.0,55.43,57.14,0.57,0.0,0.57,0.0
Sputum examination (procedure),163,19,0.61,0.0,16.56,21.05,0.61,5.26,1.23,0.0,0.0,5.26,23.31,21.05,56.44,47.37,0.61,0.0,0.61,0.0
Standard pregnancy test,148,34,0.0,2.94,0.0,91.18,1.35,0.0,1.35,0.0,0.68,0.0,28.38,0.0,67.57,2.94,0.68,0.0,0.0,2.94
Streptococcus pneumoniae group B antigen test,150,32,0.0,3.12,1.33,90.62,1.33,0.0,1.33,0.0,0.67,0.0,28.0,0.0,66.67,3.12,0.0,3.12,0.67,0.0
Subcutaneous immunotherapy,177,5,0.56,0.0,16.95,20.0,1.13,0.0,1.13,0.0,0.56,0.0,23.16,20.0,55.37,60.0,0.56,0.0,0.56,0.0
Surgical manipulation of joint of knee,179,3,0.56,0.0,17.32,0.0,1.12,0.0,1.12,0.0,0.56,0.0,23.46,0.0,54.75,100.0,0.56,0.0,0.56,0.0
Suture open wound,164,18,0.61,0.0,17.07,16.67,1.22,0.0,1.22,0.0,0.61,0.0,23.78,16.67,54.27,66.67,0.61,0.0,0.61,0.0
Syphilis infection test,150,32,0.0,3.12,0.0,96.88,1.33,0.0,1.33,0.0,0.67,0.0,28.0,0.0,67.33,0.0,0.67,0.0,0.67,0.0
Throat culture (procedure),140,42,0.71,0.0,17.86,14.29,1.43,0.0,1.43,0.0,0.71,0.0,17.86,40.48,58.57,45.24,0.71,0.0,0.71,0.0
Transfer to stepdown,161,21,0.62,0.0,16.15,23.81,1.24,0.0,1.24,0.0,0.62,0.0,16.77,71.43,62.11,4.76,0.62,0.0,0.62,0.0
Ultrasound scan for fetal viability,148,34,0.0,2.94,0.0,91.18,1.35,0.0,1.35,0.0,0.68,0.0,28.38,0.0,67.57,2.94,0.68,0.0,0.0,2.94
Upper arm X-ray,172,10,0.58,0.0,16.86,20.0,1.16,0.0,1.16,0.0,0.58,0.0,23.26,20.0,55.23,60.0,0.58,0.0,0.58,0.0
Urine culture,150,32,0.0,3.12,0.0,96.88,1.33,0.0,1.33,0.0,0.67,0.0,28.0,0.0,67.33,0.0,0.67,0.0,0.67,0.0
Urine protein test,150,32,0.0,3.12,0.0,96.88,1.33,0.0,1.33,0.0,0.67,0.0,28.0,0.0,67.33,0.0,0.67,0.0,0.67,0.0
Urine screening for glucose,148,34,0.0,2.94,0.0,91.18,1.35,0.0,1.35,0.0,0.68,0.0,28.38,0.0,67.57,2.94,0.0,2.94,0.68,0.0
Urine screening test for diabetes,150,32,0.0,3.12,0.0,96.88,1.33,0.0,1.33,0.0,0.67,0.0,28.0,0.0,67.33,0.0,0.67,0.0,0.67,0.0
Vaccination for diphtheria  pertussis  and tetanus,148,34,0.0,2.94,0.0,91.18,1.35,0.0,1.35,0.0,0.68,0.0,28.38,0.0,67.57,2.94,0.0,2.94,0.68,0.0
X-ray or wrist,177,5,0.56,0.0,17.51,0.0,1.13,0.0,1.13,0.0,0.0,20.0,22.6,40.0,55.93,40.0,0.56,0.0,0.56,0.0
Tdap,159,23,0.63,0.0,18.87,4.35,1.26,0.0,1.26,0.0,0.63,0.0,14.47,82.61,61.64,13.04,0.63,0.0,0.63,0.0
Td (adult) preservative free,50,132,0.0,0.76,2.0,22.73,2.0,0.76,2.0,0.76,0.0,0.76,84.0,0.0,10.0,72.73,0.0,0.76,0.0,0.76
DIED IN ONE MONTH,174,8,0.57,0.0,17.82,0.0,0.0,25.0,0.0,25.0,0.57,0.0,24.14,0.0,55.75,50.0,0.57,0.0,0.57,0.0
